iter	Passed	Remaining
0	0	70
1	0	58
2	0	53
3	0	51
4	1	50
5	1	49
6	1	47
7	1	53
8	2	53
9	2	51
10	2	50
11	2	49
12	2	48
13	2	47
14	3	46
15	3	45
16	3	45
17	3	44
18	3	44
19	3	43
20	4	43
21	4	42
22	4	42
23	4	41
24	4	41
25	4	41
26	5	40
27	5	40
28	5	40
29	5	40
30	5	40
31	5	39
32	6	39
33	6	39
34	6	38
35	6	39
36	6	39
37	7	38
38	7	38
39	7	38
40	7	38
41	7	38
42	8	37
43	8	37
44	8	37
45	8	36
46	8	36
47	8	36
48	9	36
49	9	35
50	9	35
51	9	35
52	9	35
53	9	34
54	9	34
55	10	34
56	10	34
57	10	33
58	10	33
59	10	33
60	10	33
61	11	32
62	11	32
63	11	32
64	11	32
65	11	32
66	12	32
67	12	31
68	12	31
69	12	31
70	12	31
71	12	31
72	13	30
73	13	30
74	13	30
75	13	30
76	13	30
77	13	29
78	14	29
79	14	29
80	14	29
81	14	29
82	14	28
83	15	28
84	15	28
85	15	28
86	15	28
87	15	28
88	15	27
89	16	27
90	16	27
91	16	27
92	16	27
93	16	27
94	17	26
95	17	26
96	17	26
97	17	26
98	17	26
99	17	25
100	18	25
101	18	25
102	18	25
103	18	25
104	18	24
105	18	24
106	19	24
107	19	24
108	19	24
109	19	24
110	19	23
111	19	23
112	20	23
113	20	23
114	20	23
115	20	22
116	20	22
117	20	22
118	21	22
119	21	22
120	21	21
121	21	21
122	21	21
123	22	21
124	22	21
125	22	21
126	22	20
127	22	20
128	22	20
129	23	20
130	23	20
131	23	20
132	23	19
133	23	19
134	23	19
135	24	19
136	24	19
137	24	18
138	24	18
139	24	18
140	24	18
141	25	18
142	25	18
143	25	17
144	25	17
145	25	17
146	26	17
147	26	17
148	26	16
149	26	16
150	26	16
151	26	16
152	27	16
153	27	16
154	27	15
155	27	15
156	27	15
157	27	15
158	28	15
159	28	15
160	28	14
161	28	14
162	28	14
163	29	14
164	29	14
165	29	13
166	29	13
167	29	13
168	29	13
169	30	13
170	30	13
171	30	12
172	30	12
173	30	12
174	30	12
175	31	12
176	31	12
177	31	11
178	31	11
179	31	11
180	32	11
181	32	11
182	32	10
183	32	10
184	32	10
185	32	10
186	33	10
187	33	10
188	33	9
189	33	9
190	33	9
191	33	9
192	34	9
193	34	8
194	34	8
195	34	8
196	34	8
197	34	8
198	35	8
199	35	7
200	35	7
201	35	7
202	35	7
203	36	7
204	36	7
205	36	6
206	36	6
207	36	6
208	36	6
209	37	6
210	37	6
211	37	5
212	37	5
213	37	5
214	38	5
215	38	5
216	38	4
217	38	4
218	38	4
219	39	4
220	39	4
221	39	4
222	39	3
223	39	3
224	39	3
225	40	3
226	40	3
227	40	3
228	40	2
229	40	2
230	40	2
231	41	2
232	41	2
233	41	1
234	41	1
235	41	1
236	42	1
237	42	1
238	42	1
239	42	0
240	42	0
241	43	0
242	43	0
243	43	0
244	43	0
